"Data Source","Indicateurs du développement dans le monde",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Australie","AUS","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","11.1999998092651","11.3000001907349","11.3999996185303","11.6999998092651","11.8000001907349","11.8999996185303","11.8000001907349","11.8000001907349","11.8000001907349","11.6999998092651","11.6999998092651","11.6000003814697","11.8000001907349","11.8000001907349","12","11.8999996185303","11.8999996185303","12.1000003814697","12.1000003814697","12.1999998092651","12.3000001907349","12.1999998092651","12.1000003814697","11.8999996185303","11.6999998092651","10.8999996185303","","10.5","","9.80000019073486","","9.1999998093","8.8999996185","8.8999996185","8.6999998093","8.6999998093","8.5","8.3000001907","8.1999998093","7.9000000954","4.04","3.95","3.93","3.97","4","3.9","3.93","","3.82","3.77","3.78","3.79","3.75","3.74","3.79","3.82","3.84","","","","","",
"Autriche","AUT","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","10.8000001907349","","","","","","","","","","10.8000001907349","","","","","","","","","","11.1999998092651","","","","","10.8999996185303","10.8000001907349","10.6999998092651","10.6000003814697","10.3999996185303","10.1999998093","9.8999996185","9.6999998093","9.3999996185","9.5","9.3999996185","9.3000001907","9.1999998093","9","8.8999996185","7.95","7.85","7.81","7.73","7.73","7.69","7.66","7.75","7.69","7.68","7.65","7.68","7.67","7.64","7.58","7.54","7.42","7.37","7.27","","","",
"Azerbaïdjan","AZE","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","","","","","","","","","","","","","","","","","","","","","9.74520015716553","","","","","9.89680004119873","9.84109973907471","9.88210010528564","9.96630001068115","10.204400062561","10.0992002487","10.0208997726","10.5427999496","10.4875001907","10.070599556","10.0200004578","9.8100004196","9.6099996567","9.0600004196","8.8999996185","8.69","8.51","8.4","8.27","8.24","8.21","7.94","7.93","7.67","7.54","5.06","4.62","4.65","4.69","4.82","","","","","","","",
"Burundi","BDI","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","1.12240731716156","","","","","","","","","","1.28059995174408","","","","","1.12320005893707","","","","","","","","","","","0.679199993610382","","","","","0.6631000042","","","","","","","","","","","","","","","0.7","","","","","","","","0.79","","","","","","","",
"Belgique","BEL","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","","","","","","","","","","","8.30000019073486","","","","","","","","","","9.39999961853027","","","","","9.10000038146973","","","","","8","7.9000000954","7.6999998093","7.6999998093","7.5999999046","","","7.1999998093","7.1999998093","7.0999999046","6.72","6.62","6.54","6.53","6.48","6.44","6.35","6.27","6.25","6.15","6.12","6.05","5.99","5.93","5.85","5.83","5.76","5.66","5.62","5.58","","",
"Bénin","BEN","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","1.22574877738953","","","","","","","","","","1.15489995479584","","","","","","","","","","1.46490001678467","1.13119995594025","","","","0.359600007534027","","","","","0.8338999748","0.5005000234","0.2231000066","0.2390999943","0.2336000055","","","","","","","","","","","0.5","","","","","0.5","","","","","","","","","","","",
"Burkina Faso","BFA","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","0.523758113384247","","","","","","","","","","0.57150000333786","","","","","","","","","","","","","","","","","","","0.306400001049042","0.2992999852","","","","","1.2999999523","1.4199999571","","","","","","","","","","0.9","","","","0.4","","","","","","","","","","","",
"Bangladesh","BGD","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","","","","","","","","","","","0.155100002884865","","","","","","","","","","0.215800002217293","0.225199997425079","","","","0.287800014019012","","","","","0.3041999936","0.3080999851","","","0.3048999906","","","","","0.3000000119","","0.3","0.34","","","0.3","","","","","","0.6","","","0.6","0.77","0.79","","","","","",
"Bulgarie","BGR","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","6.21367740631104","","","","","","","","","","","","","","","","","","","","8.85060024261475","8.85900020599365","8.88669967651367","8.87679958343506","8.96300029754639","9.11400032043457","9.45209980010986","9.56420040130615","9.56019973754883","9.70209980010986","9.7908000946","9.7681999207","10.2063999176","10.4941997528","10.196100235","10.3699998856","10.470000267","10.279999733","8.4099998474","7.4899997711","7.41","7.2","6.49","6.29","6.13","6.41","6.28","6.46","6.61","6.72","6.62","6.45","6.61","6.82","7.13","7.24","7.27","7.45","","","","",
"Bahreïn","BHR","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","4.71140956878662","","","","","","","","","","4.34289979934692","","","","","","","","","","3.31439995765686","","","","","","","","","3.33949995040894","","","","","","","","2.9000000954","","","2.75","2.82","2.86","2.81","2.81","2.81","2.74","2.74","1.97","1.9","1.77","1.7","2.08","2.08","2.03","1.95","1.89","1.74","","","","",
"Bahamas","BHS","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","5.72566366195679","","","","","","","","","","5.09359979629517","","","","","","","","","","4.4047999382019","","","","","","","","","","4","","","3.8838999271","","3.6","3.9400000572","","","","3.5","3.4","3.4000000954","3.4","3.4","","3.2","3.2","3.2","3.2","2.92","2.9","2.86","2.85","2.76","2.83","","2.96","","","","",
"Bosnie-Herzégovine","BIH","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","","","","","","","","","","","","","","","","","","","","","4.83109998703003","4.92280006408691","4.91790008544922","4.90469980239868","4.8137001991272","4.71810007095337","4.74200010299683","4.5935001373291","4.57819986343384","4.49830007553101","4.4590997696","4.3779997826","","","","","","","3.8199999332","3.7999999523","3.38","3.24","3.21","3.17","3.05","3.12","3.32","3.39","3.35","3.33","3.4","3.46","3.5","3.5","3.49","","","","","","","",
"Bélarus","BLR","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","","","","","","","","","","","","","","","","","","","","","12.5460996627808","","","","","13.0712995529175","13.2604999542236","13.4562997817993","13.3729000091553","13.5795001983643","13.2264003754","13.20470047","12.6906995773","12.4762001038","12.4638996124","12.3800001144","12.2700004578","12.3599996567","12.4200000763","12.6400003433","12.61","12.58","11.94","11.34","10.71","11.13","11.18","11.23","11.12","11.07","11.45","11.25","11.27","11.05","10.83","","","","","","","",
"Belize","BLZ","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","4.66776514053345","","","","","","","","","","5.40140008926392","","","","","","","","","","","","","","","","3.31680011749268","","","","2.7000000477","","","2.7999999523","","2.5","2.1300001144","","","","1.9","","","1.2999999523","1.3","1.2","1.3","1.2","1.2","1.1","1.2","1.09","1.08","0.89","1.27","","1.22","1.04","","","","",
"Bermudes","BMU","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.3000001907","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivie","BOL","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","1.84541928768158","","","","","","","","","","2.32170009613037","","","","","2.05879998207092","","","","","","","","","","","","","","","1.317800045","1.4110000134","","1.3999999762","","","1.6699999571","","","","","","","1","1","","1.1","1.1","1.1","1.1","","1.07","1.1","1.12","1.15","1.13","1.27","1.29","","","","",
"Brésil","BRA","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","3.20179533958435","","","","","","","","","","3.69180011749268","","","","","4.9951000213623","","","","","","","","","","","","3.56030011177063","","","3.3452999592","","","3.5","","","3.1099998951","","","","2.82","2.78","2.59","2.42","","2.52","2.48","2.47","2.44","2.43","2.37","2.31","2.27","2.25","2.22","2.15","2.11","2.09","","","","",
"Barbade","BRB","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","5.92977905273438","","","","","","","","","","10.2215995788574","","","","","","","","","","8.53470039367676","","","","","","","","","","8.3999996185","","","1.2676000595","","7.4","7.5599999428","","","","","","","7.3","7.3","6.7","6.6","","7.6","6.8","6.76","","6.34","6.34","5.93","5.9","5.89","5.97","","","","",
"Brunéi Darussalam","BRN","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","4.90243911743164","","","","","","","","","","3.50769996643066","","","","","","","","","","","2.93589997291565","2.99399995803833","","","","","","","","","","","","","","","","","","2.46","","2.7","","2.6","2.58","2.79","","2.7","2.6","2.46","2.46","2.44","2.42","2.43","2.77","2.76","2.85","","","","",
"Bhoutan","BTN","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","1.70589995384216","","","","0.8467000127","","","","1.6147999763","","","","","1.6000000238","","1.6","1.6","","","","1.7","","","","","1.8","1.74","","","","","","","","","",
"Botswana","BWA","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","2.12291669845581","","","","","","","","","","","","","","","","","","","","2.36310005187988","","","","","","","","","","1.5751999617","","","","","","","","","","","","","2.2","","","","2.4","1.8","","1.8","","","","","","","","","","","",
"République centrafricaine","CAF","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","1.23142111301422","","","","","","","","","","1.87559998035431","","","","","","","","","","1.55859994888306","","","","","","","","","","0.8731999993","","","","","","","","","","","","","","","","1.2","","","","","1","","","","","","","","","","",
"Canada","CAN","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","6.19999980926514","","","","","","","","","","7","","","","","","6.90000009536743","6.90000009536743","6.90000009536743","6.80000019073486","6.80000019073486","6.90000009536743","6.80000019073486","6.80000019073486","6.80000019073486","6.80000019073486","6.69999980926514","6.59999990463257","6.5","6.30000019073486","6","5.8000001907","5.5","5.4000000954","","5","4.5999999046","4.4000000954","4.1999998093","3.9000000954","3.77","3.69","3.64","3.5","3.44","3.1","3.02","2.96","2.85","2.8","2.78","2.8","2.79","2.72","2.67","2.62","2.6","2.53","2.55","2.52","","",
"Europe centrale et les pays baltes","CEB","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","","","","","","","","","","","","","","","","","","","","","8.03024521070742","","","","","8.2004950903895","","","","","8.11984050401736","8.03882876474435","7.67228575673474","7.64288605831753","7.63067159676445","7.23868869955943","7.26824655678557","7.0230654493653","6.7973288388091","6.61653067869634","6.69635228466985","","6.73782324654835","6.88787426343973","6.82750990137317","6.774348965948","6.7339566956929","6.60331089851248","6.66463691446371","6.65480914995853","6.56915991367176","6.54245871788132","6.57433663752296","6.55635454751669","6.58222272698589","6.57965016967324","6.58302091772516","6.59318361486936","6.42266707533026","","","",
"Suisse","CHE","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.8999996185","","","","","","","","","6.29","6.04","5.95","5.82","5.67","5.54","5.39","5.36","5.21","5.1","5.19","5.05","4.97","4.85","4.73","4.73","4.69","4.65","4.63","","","",
"Îles Anglo-Normandes","CHI","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","11.1538457870483","","","","","","","","","","11.2250003814697","","","","","","","","","","10.6512002944946","10.595100402832","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chili","CHL","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","3.6742901802063","","","","","","","","","","3.77640008926392","","","","","","","","","","3.40639996528625","","","","","","","","","3.17670011520386","3.1586000919","","","3.0999999046","","","2.6700000763","","","","2.72","2.62","2.54","2.51","2.41","2.31","2.33","2.29","2.28","2.27","2.04","2.22","2.17","2.17","2.12","2.14","2.12","2.11","2.06","","","",
"Chine","CHN","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","","","","","","1.44000005722046","1.51999998092651","1.5","1.45000004768372","1.45000004768372","1.53999996185303","1.58000004291534","1.71000003814697","1.76999998092651","1.85000002384186","1.91999995708466","2","2.0699999332428","2.14000010490417","2.20000004768372","2.23000001907349","2.25","2.25999999046326","2.28999996185303","2.32999992370605","2.36999988555908","2.40000009536743","2.48000001907349","2.53999996185303","2.55999994277954","2.5799999237","2.5999999046","2.6199998856","2.6300001144","2.6300001144","2.6099998951","2.5499999523","2.5499999523","2.5299999714","2.5199999809","1.68","1.66","1.7","1.73","1.79","1.84","1.91","1.99","2.13","2.29","2.47","2.69","3.01","3.29","3.55","3.79","4.02","4.31","","","","",
"Côte d'Ivoire","CIV","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","1.34876954555511","","","","","","","","","","1.15610003471375","","","","","","","","","","","","","","","","","","","0.828499972820282","0.8116000295","","","","","","","","","","","","","","","","0.4","","","","","","","","","","","","","","","",
"Cameroun","CMR","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","2.00226593017578","","","","","","","","","","1.75150001049042","","","","","2.46589994430542","","","","","","","","","","","","","","2.59829998016357","2.5532999039","","","","","","","","","","","","","","","","1.5","","","","1.3","","","","","","","","","","","",
"Congo, République démocratique du","COD","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","5.67403650283813","","","","","","","","","","3.32340002059937","","","","","3.22530007362366","","","","","","","","","","","","1.59309995174408","","","1.4268000126","","","","","","","","","","","","","","","1.1","0.8","","","","","","","","","","","","","","","",
"Congo, République du","COG","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","3.75708508491516","","","","","","","","","","4.38719987869263","","","","","","","","","","","","","","","","","","","","3.3499999046","","","","","","","","","","","","","","","1.6","","","","","","","","","","","","","","","","",
"Colombie","COL","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","2.57554721832275","","","","","","","","","","2.09730005264282","","","","","","","","","","1.56410002708435","","","","","","","","","1.25109994411469","1.3667000532","","","1.2999999523","","","1.4600000381","","","","","","","1.1000000238","1.2","","1","1","","","1.48","1.45","1.48","1.54","1.59","1.61","1.68","1.7","1.71","","","",
"Comores","COM","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.12490010261536","2.7616000175","","","","","","","","","","","","","","","","2.2","","","","2.16","","","","","","","","","","","",
"Cabo Verde","CPV","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","","","","","","","","","","","1.40820002555847","","","","","","","","","","2.1868999004364","","","","","","","","1.59769999980927","","","","1.5830999613","","","","","","","","","","","","","2.1","","","2.1","","2.1","","","","","","","","","","","",
"Costa Rica","CRI","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","4.7907772064209","","","","","","","","","","3.93959999084473","","","","","","","","","","3.31439995765686","","","","","","","","","","2.5","","","","1.793900013","1.7799999714","1.75","1.7100000381","1.6799999475","","1.65","1.61","1.57","1.54","1.5","1.35","1.32","1.3","1.25","1.24","1.24","1.23","1.2","1.18","1.17","1.16","1.15","1.14","1.11","1.1","","",
"Petits états des Caraïbes","CSS","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","5.0454388889148","","","","","","","","","","5.00515797521751","","","","","4.99030118520859","","","","","","","","","","","","","","","3.63829622162279","","","2.8389571249227","","3.10275035868824","3.49807382596356","","","","","2.52131559103207","","2.55741719545341","","2.45141961286194","2.56390923544362","2.19874508204536","","2.30803874883287","2.3139158492592","","2.3080056480848","2.25763750648002","","2.48869632605722","2.29810737271053","2.40971860061789","","","","",
"Cuba","CUB","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","4.36649942398071","","","","","","","","","","4.63240003585815","","","","","","","","","","","","","","","","","","","","5.4211997986","","","6","","","5.1300001144","","","","","","","4.9000000954","","4.9","4.9","4.9","6","5.9","5.9","5.08","5.04","5.05","5.16","5.24","5.32","5.33","","","","",
"Curacao","CUW","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Îles Caïmans","CYM","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chypre","CYP","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","4.52356004714966","","","","","","","","","","5.38210010528564","","","","","","","","","","5.65299987792969","5.72009992599487","","","","","","","","5.08640003204346","","","","","","","","","","","4.52","4.4","4.4","4.3","4.2","3.83","3.8","3.8","3.78","3.76","3.57","3.51","3.46","3.41","3.42","3.42","3.43","3.4","","","","",
"République tchèque","CZE","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","","","","","","","","","","","","","","","","","","","","","11.3000001907349","","","","","11.3999996185303","","","","","11.3000001907","11.1000003815","10.6999998093","10.3999996185","10.1999998093","","","","","","7.8","7.77","7.76","7.73","7.65","7.57","7.45","7.33","7.21","7.14","7.3","7.06","6.93","6.7","6.68","6.67","6.66","6.63","6.62","","","",
"Allemagne","DEU","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","10.5","","","","","","","","","","11.3000001907349","","","","","","","","","","11.5","","","","","11","","","","","10.3999996185","10.1000003815","9.8999996185","9.6999998093","9.6999998093","9.6999998093","9.6000003815","9.3999996185","9.3000001907","9.1999998093","9.12","9.01","8.87","8.74","8.58","8.47","8.3","8.24","8.21","8.24","8.25","8.38","8.34","8.28","8.23","8.13","8.06","8","","","","",
"Djibouti","DJI","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","7.83132553100586","","","","","","","","","","6.07740020751953","","","","","","","","","","","3.61050009727478","","","","","","","","","2.5397000313","","","","","","","","","","1.75","1.75","1.75","1.61","1.61","1.61","1.61","","","","1.42","1.42","1.42","1.42","1.4","1.4","1.4","1.4","","","","",
"Dominique","DMA","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","4.54394674301147","","","","","","","","","","4.4443998336792","","","","","","","","","","","","","","","","","","","","3","","","2.5938999653","","3.6","2.6500000954","","","","3.8","3.5","3.9000000954","3.9","3.9","3.9","","4","3.8","3.8","3.8","3.8","3.8","","","","","","","","","",
"Danemark","DNK","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","","","","","","","","","","","8.10000038146973","","8.39999961853027","8.30000019073486","8.5","8.5","8.60000038146973","8.39999961853027","8.5","8.19999980926514","8.10000038146973","7.80000019073486","7.69999980926514","7.40000009536743","7.09999990463257","7","6.90000009536743","6.19999980926514","6","5.80000019073486","5.5999999046","5.4000000954","5.0999999046","5","5","4.9000000954","4.6999998093","4.5999999046","4.5","4.3000001907","4.29","4.22","4.29","4.13","3.97","3.86","3.79","3.69","3.57","3.49","3.5","3.13","","3.07","2.69","2.53","2.6","2.61","2.43","2.6","","",
"République dominicaine","DOM","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","2.32869076728821","","","","","","","","","","2.63940000534058","","","","","2.50149989128113","","","","","","","","","","","","","","","1.8812999725","","","2","","","1.5","","","","","","","2.0999999046","","2","","1.22","1.57","1.44","1.59","1.74","1.74","1.79","1.79","1.58","1.44","1.56","","","","",
"Algérie","DZA","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","3.18740749359131","","","","","","","","","","2.84249997138977","","","","","","","","","","","","","","","","2.48839998245239","","2.62899994850159","2.56439995765686","2.4993000031","","","","2.1031999588","","","","2.0999999046","","","","","","1.7","","","","","","","","","","","1.9","","","","","","",
"Asie de l’Est et Pacifique (hors revenu élevé)","EAP","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","","","","","","1.44000005722046","1.51999998092651","1.5","1.45000004768372","1.45000004768372","1.43947102014028","1.58000004291534","1.71000003814697","1.76999998092651","1.85000002384186","1.77975864272309","1.98703122938755","2.0699999332428","2.14000010490417","2.20000004768372","2.22245576565348","2.29408621513007","2.2337271255722","2.26206769362833","2.30815550330938","2.11942192801959","2.36573156149092","2.47996941245066","2.5367118692888","2.35436274187618","2.27819556938594","2.27211446844523","2.27751962523559","2.29148853414652","2.34848495877489","2.57222182591557","2.54097739180116","2.49875590642201","2.25329826067054","2.50484986782643","1.70807977592981","1.65809878309513","1.64476881634023","1.73052989958982","1.84170311124147","1.87657829605033","1.87006111636362","1.9344715778349","2.10760508101582","2.03541774666314","2.29596364582296","2.27949076232431","2.65957157392984","2.81720053131126","2.99202825642182","3.30073970683329","3.41207508350769","3.67949410568126","","","","",
"de dividende précoce démographique","EAR","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","0.922645742043222","","","","","","","","","","0.96168087241646","","","","","0.886896125625467","","","","","1.03488160615699","","","","","1.10396204154335","","","","","","1.08843673608568","","","","","","","","","1.05840380556702","0.916364404643181","0.938946270405959","1.18874716585191","","0.934590606041581","0.942885530684248","0.949489020043298","0.86699023203682","0.83925044244891","0.955886770202086","1.13960447203571","0.909504487904033","0.930105766023372","0.950942770649187","0.920757465443677","0.873650435578758","0.923092796568747","","","","",
"Asie de l’Est et Pacifique","EAS","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","","","","","","","","","","","2.55043409966367","","","","","1.91577664038776","2.12780208496989","","","","3.32616014794116","2.43824247743765","2.38248109289451","2.41146744367343","2.45465442868814","3.28489347066936","2.39663265934632","","","2.48577485536025","2.34085098692449","2.4209031049061","2.42870460458036","3.43677972991816","3.52703445272108","3.80175545556077","3.80371543489792","3.70828781580638","3.38925727217422","3.70020165609249","2.82112781749605","2.75366529953754","2.56498892085987","2.94615037421661","2.9693572348802","2.94335439984477","2.90238641955091","3.04155474119818","3.16429203136347","2.95382575429251","3.142580371641","3.21360588750757","3.49816097750217","3.68373186293694","3.85270517657331","4.1856960683237","4.26298990411082","4.5154222382576","","","","",
