BOR;AN;FI;RS;FI_EJ;URG;HMED;HIDE;SAO;ACC;PASSU;dt80;dt18;dtMCO;dtMCO80;dtMCO18;dtLS;dtLS80;dtLS18;dtHAD;dtHAD80;dtHAD18;dtEXT;dtEXT80;dtEXT18;dtHOSP;LIT_UHCD;JLI_UHCD;SEJ_UHCD;SEJ0_UHCD;JOU_UHCD;STAP;RMM
URGENCES2;2020;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;GEN;336;434;;;12086;1627;1941;2102;756;72;29;21;0;0;0;0;364;151;5;;5;1895;1511;591;952;;
URGENCES2;2020;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;GEN;406;504;1;IAOMAO;17814;1826;3017;2913;899;97;333;43;3;0;0;0;408;56;96;;6;1692;1905;933;1096;1;1
URGENCES2;2020;050000231;CH DES ESCARTONS DE BRIANCON;050000116;GEN;210;252;1;IAO;18342;;;;;;;;;;;;;;;;2;730;949;649;300;1;1
URGENCES2;2020;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;GEN;168;168;;;7027;686;1517;827;344;12;5;2;0;;;;389;99;12;;2;;389;235;160;;
URGENCES2;2020;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;GEN;210;525;;;27052;4146;3996;9252;2629;757;1;1;0;0;0;0;2070;858;65;;8;2934;3874;1544;2413;1;1
URGENCES2;2020;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;GEN;;;1;IAO;37731;3578;12528;8775;;;177;;;;;;281;;;;12;4380;2562;1838;736;1;
URGENCES2;2020;060000510;CH D'ANTIBES JUAN LES PINS;060780954;GEN;501;728;1;IAO;38586;6721;5858;7440;3000;487;465;40;6;;;;394;126;27;;12;4392;3384;923;4098;1;1
URGENCES2;2020;060000544;CH DE CANNES SIMONE VEIL;060780988;GEN;668;947;1;IAOMAO;44619;7005;7834;8807;3767;725;477;;;0;;;134;;;;7;2562;1780;1238;560;1;1
URGENCES2;2020;060002102;CH LA PALMOSA DE MENTON;060791761;GEN;336;336;1;IAO;15985;;;;;;;;;;;;;;;;4;1464;3036;1816;1305;1;1
URGENCES2;2020;060780491;INSTITUT ARNAULT TZANCK;060790797;GEN;180;267;1;IAO;17298;2097;510;2198;619;10;;;;;;;62;14;0;;4;0;;;;1;1
URGENCES2;2020;060780517;POLYCLINIQUE SAINT JEAN;060000239;GEN;252;348;1;IAO;27218;1995;2849;2909;735;19;0;0;0;0;0;0;254;32;41;;5;1825;882;809;73;1;1
URGENCES2;2020;060780715;CLINIQUE SAINT GEORGE;060000361;GEN;280;322;1;IAO;24577;3407;1185;3456;1150;24;;;;;;;517;256;2;;4;1464;1590;1546;44;1;1
URGENCES2;2020;060780723;CLINIQUE DU PARC IMPERIAL;060004959;GEN;168;203;1;IAO;11257;1173;117;1152;;;;;;;;;;;;;8;2920;142;96;47;1;1
URGENCES2;2020;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;PED;;;1;IAO;43013;;;;;;;;;;;;;;;6757;6;;2704;1040;1688;;
URGENCES2;2020;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;GEN;964;2184;1;IAOMAO;85309;12961;2108;19725;6447;44;179;48;1;0;0;0;2029;692;24;;19;6865;9598;5709;3947;1;1
URGENCES2;2020;070000013;CH DES VALS D'ARDECHE;070002878;GEN;39;35;1;IAO;11573;2096;1142;1658;;;;;;;;;413;;;;5;1830;1181;470;956;0;1
URGENCES2;2020;070000179;CH ARDECHE NORD;070780358;GEN;476;336;1;IAO;28488;3202;6955;9206;2367;930;;;;;;;;;;;14;5110;6281;3023;3758;1;1
URGENCES2;2020;070000609;CH D'AUBENAS;070005566;GEN;420;490;1;IAO;25999;3628;4265;5970;;;;;;;;;;;;;6;2190;3711;1576;2500;0;0
URGENCES2;2020;070780424;CLINIQUE PASTEUR;070000245;GEN;168;331;1;IAO;15443;1928;1965;1170;282;35;;;;;;;;;;;2;732;292;43;260;1;1
URGENCES2;2020;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;GEN;156;432;1;IAO;14253;1766;3161;4389;1275;527;20;;;;;;;;;;3;1098;3196;1837;1442;1;0
URGENCES2;2020;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;GEN;336;336;0;;12012;1597;2353;3040;1364;84;28;21;0;0;0;0;210;26;9;;6;2196;2365;1295;1161;1;1
URGENCES2;2020;080000276;CENTRE HOSPITALIER DE VOUZIERS;080001969;GEN;168;252;0;;7005;758;1016;624;291;3;19;12;0;7;7;0;102;19;12;;2;732;1184;862;346;1;1
URGENCES2;2020;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;GEN;348;1370;1;IAO;42398;5412;10100;3731;957;960;565;29;0;;;;1998;522;31;;14;5124;7154;4301;3001;1;1
URGENCES2;2020;090000175;CHIVAL SITE FOIX;090781774;GEN;476;724;1;IAO;30573;4327;5237;8775;2446;651;;;;;;;89;13;5;;8;2920;4696;2434;2357;0;1
URGENCES2;2020;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;GEN;336;336;;;9581;2002;1092;2198;;;;;;;;;;;;;3;;1099;573;537;;
URGENCES2;2020;090001629;CHIVAL SITE LAVELANET;090781774;GEN;168;168;1;IAO;3914;498;773;255;144;9;0;0;;;;;45;7;3;;0;;;;;1;1
URGENCES2;2020;100000090;CENTRE HOSPITALIER DE TROYES;100000017;GEN;914;1256;;;51197;6437;10768;11115;3474;1485;;;;;;;1494;243;161;;19;6592;6109;1804;6119;1;1
URGENCES2;2020;100000199;CENTRE HOSPITALIER DE ROMILLY/SEINE;100006279;GEN;168;383;1;IAO;15792;2896;2749;2554;925;21;1;1;0;0;0;0;400;0;0;;4;732;517;299;246;1;1
URGENCES2;2020;110000023;CH CARCASSONNE;110780061;GEN;376;812;1;IAOMAO;31200;4980;5906;6931;2379;765;;;;;;;;;;;9;3294;3337;1249;2312;1;1
URGENCES2;2020;110000049;CH JEAN PIERRE CASSABEL;110780087;GEN;168;238;1;IAO;9806;660;2270;288;;;0;;;;;;434;;;;2;730;952;501;456;0;0
URGENCES2;2020;110000056;CH NARBONNE HOTEL DIEU;110780137;GEN;215;499;1;IAOMAO;37009;4702;7910;8355;2594;860;288;16;1;0;0;0;987;441;4;;9;9;6397;3736;2975;1;0
URGENCES2;2020;110780228;POLYCL LE LANGUEDOC;110000114;GEN;168;455;1;IAO;17217;1799;2260;4127;936;104;2;;;1;;;93;8;3;;6;2190;1713;1284;435;1;1
URGENCES2;2020;110780483;POLYCL MONTREAL;110000155;GEN;168;324;1;IAO;16838;1553;2528;2794;507;89;;;;;;;;;;;4;1460;1203;1045;159;0;1
URGENCES2;2020;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;GEN;336;332;1;IAO;26800;4628;5328;7553;2707;699;25;1;23;0;0;0;2031;948;63;;4;1460;2032;657;1455;1;1
URGENCES2;2020;120000054;CH VILLEFRANCHE SITE CHARTREUSE;120780069;GEN;186;186;1;MAO;12136;2071;1667;2900;1124;62;;;;;;;;;;;2;732;500;272;236;1;0
URGENCES2;2020;120000070;CH PIERRE DELPECH DECAZEVILLE;120780085;GEN;195;336;1;IAO;9200;1477;1493;1247;633;11;;;;;;;;;;;2;730;634;261;396;;
URGENCES2;2020;120004569;CH MILLAU;120004528;GEN;168;252;1;IAO;14299;1968;2592;2452;680;50;85;;;;;;587;;;;3;906;1141;389;782;1;1
URGENCES2;2020;120004668;CH EMILE BOREL ST AFFRIQUE;120004619;GEN;168;172;1;IAO;7545;1144;1414;1614;624;71;0;0;0;0;0;0;214;44;38;;2;730;829;469;384;1;1
URGENCES2;2020;130000409;CHI SITE D'AIX EN PROVENCE;130041916;GEN;854;1598;1;IAO;52959;6820;13692;15430;4638;1783;680;31;7;0;0;0;401;103;31;;8;4677;12275;5864;7119;1;1
URGENCES2;2020;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;GEN;260;420;1;IAO;31955;3207;9621;5927;1980;756;96;79;0;30;9;0;1249;493;48;;8;2920;2314;1001;1433;1;1
URGENCES2;2020;130001225;HOPITAL DU PAYS SALONNAIS;130782634;GEN;504;568;1;IAO;33579;4046;7607;8939;2728;1079;;;;;;;;;;;6;;3609;1020;2863;1;1
URGENCES2;2020;130002215;CENTRE HOSPITALIER GENERAL LA CIOTAT;130785512;GEN;168;420;1;IAO;24570;3281;3779;4409;;;;;;7;;;630;;;;4;1460;2030;1019;1058;1;1
URGENCES2;2020;130002827;CH JOSEPH IMBERT D'ARLES;130789274;GEN;238;588;1;IAO;31510;3675;4596;4154;1775;44;495;34;26;;;;579;66;123;;4;1464;2976;1789;1257;1;1
URGENCES2;2020;130002835;CH DE MARTIGUES HOPITAL DES RAYETTES;130789316;GEN;588;11475;1;IAO;41327;4118;9688;1239;103;876;543;136;2;;;;1207;361;36;;10;;8250;4519;4031;1;0
URGENCES2;2020;130043664;HOPITAL EUROPEEN;130002157;GEN;504;850;1;IAO;33617;2541;640;4908;1061;39;;;;;;;1267;425;4;;6;2196;2173;1321;878;1;1
URGENCES2;2020;130780521;APHM HOPITAL NORD;130786049;GEN;789;2049;1;IAO;83214;5235;25835;16477;3400;2140;;;;;;;;;;;15;5404;9421;5297;5347;1;1
URGENCES2;2020;130781479;HOPITAL PRIVE LA CASAMANCE;130000599;GEN;252;420;1;IAO;13736;1816;966;2917;910;21;4;2;0;0;0;0;45;15;2;;2;;50;17;34;1;1
URGENCES2;2020;130782071;CLINIQUE DE L'ETANG DE L'OLIVIER;130002454;GEN;168;287;1;IAO;11940;1052;1038;759;484;0;0;0;0;0;0;0;91;0;18;;6;2190;196;146;55;1;1
URGENCES2;2020;130782147;CLINIQUE GENERALE DE MARIGNANE;130000979;GEN;336;595;1;IAO;28407;3378;2552;5366;1885;54;;;;;;;26;4;3;;6;2196;725;392;338;1;1
URGENCES2;2020;130783293;APHM HOPITAL LA TIMONE;130786049;GEN;1060;2100;1;IAO;77261;8912;2220;23606;5827;345;71;4;;;;;1450;765;;;19;6337;19859;10094;12585;1;1
URGENCES2;2020;130784713;HOPITAL PRIVE BEAUREGARD VERT COTEAU;130038847;GEN;252;504;1;IAO;12888;1546;449;2571;773;17;;;;;;;;;;;4;1464;25;22;3;1;1
URGENCES2;2020;130785652;HOPITAL SAINT JOSEPH;130014228;GEN;840;981;1;IAO;54277;5705;20486;11726;3799;2112;;;;;;;;;;;17;6222;5685;2862;3062;1;1
URGENCES2;2020;130786361;POLYCLIN PARC RAMBOT HOP PRIV PROVENCE;130002447;GEN;280;504;1;IAO;20722;2465;2320;4810;1368;130;;;;;;;117;25;1;;3;;380;89;299;1;0
URGENCES2;2020;130786742;HIA LAVERAN;750821092;GEN;364;663;1;IAO;23050;3632;760;3674;1574;20;62;2;2;;;;419;204;1;;10;3650;2943;945;2172;1;1
URGENCES2;2020;130804297;APHM HOPITAL LA TIMONE ENFANTS;130786049;PED;;;;;27577;;;;;;;;;;;;;;;5344;8;2114;1940;688;1268;;
URGENCES2;2020;140000027;CENTRE HOSPITALIER DE LISIEUX;140000035;GEN;456;742;1;IAO;36194;3492;11759;11379;2678;1700;7;7;0;0;0;0;0;;;;9;3294;3918;2928;1046;1;0
URGENCES2;2020;140000209;CHU COTE DE NACRE - CAEN;140000100;GEN;562;1428;1;IAOMAO;51093;7913;993;14629;4633;192;476;11;23;;;;1416;116;15;;13;4745;11605;4060;8958;1;1
URGENCES2;2020;140000209;CHU COTE DE NACRE - CAEN;140000100;PED;288;584;1;IAO;18483;;;;;;;;;;;;;;;2950;3;1095;1307;748;562;;
URGENCES2;2020;140000233;CENTRE HOSPITALIER DE FALAISE;140000118;GEN;168;246;1;IAO;15016;2076;4236;4229;1293;879;;;;;;;;;;;2;732;1456;786;700;1;0
URGENCES2;2020;140000373;CENTRE HOSPITALIER DE VIRE;140000159;GEN;168;252;1;IAO;9256;1980;1066;3009;1407;14;1;1;0;1;0;0;346;55;53;;2;732;1786;516;1375;1;1
URGENCES2;2020;140016759;POLYCLINIQUE DU PARC - CAEN;140003146;GEN;196;319;;;15886;1711;2855;2048;;;;;;;;;;;;;6;806;802;610;212;0;0
URGENCES2;2020;140017237;HOPITAL PRIVE ST MARTIN-CAEN;140003278;GEN;203;483;1;IAO;26542;2414;3380;2569;541;45;;;;;;;;;;;5;1825;81;15;70;1;0
URGENCES2;2020;140024886;CENTRE HOSPITALIER - AUNAY-BAYEUX;140000092;GEN;188;420;1;IAO;18888;2850;3826;4558;1643;419;59;12;0;0;0;0;146;24;13;;4;1464;1894;1131;844;1;0
URGENCES2;2020;140026410;CH COTE FLEURIE - SITE DE CRICQUEBOEUF;140026279;GEN;336;336;;;15284;1328;1713;4711;;;;;;;;;858;;;;5;1830;3264;1916;1437;;
URGENCES2;2020;150000032;CH DE SAINT-FLOUR;150780088;GEN;168;168;1;IAO;11397;1641;1908;2468;920;41;138;7;2;;;;266;49;47;;0;0;;;;1;1
URGENCES2;2020;150000040;CH HENRI MONDOR;150780096;GEN;282;509;1;IAO;22618;3597;4847;5957;2075;1130;548;59;34;6;3;0;301;79;18;;6;1794;1298;260;1147;1;1
URGENCES2;2020;150000164;CH DE MAURIAC;150780468;GEN;48;35;1;IAO;7799;1103;1528;;;;;;;;;;;;;;6;2190;1086;241;865;;
URGENCES2;2020;160000253;CENTRE HOSPITALIER D'ANGOULEME;160000451;GEN;803;1910;1;IAO;49426;5741;12984;11918;2948;1190;14;0;11;;;;;;;;18;6588;5581;2896;2776;1;1
URGENCES2;2020;160000303;CH HOPITAUX SUD-CHARENTE - BARBEZIEUX;160006037;GEN;168;252;1;IAO;8158;1367;1254;2209;;;;;;;;;;;;;2;732;358;324;37;1;1
URGENCES2;2020;160000311;CENTRE HOSPITALIER CONFOLENS;160000485;GEN;168;207;1;IAO;9325;1389;1796;1230;633;11;17;10;0;;;;476;109;44;;2;732;848;847;1;1;0
URGENCES2;2020;160000337;CENTRE HOSPITALIER DE RUFFEC;160000493;GEN;168;168;0;;8782;1589;1449;1980;881;30;20;15;0;0;0;0;139;;;;5;;759;650;115;1;
URGENCES2;2020;160015368;CHI DU PAYS DE COGNAC;160014411;GEN;84;140;1;IAO;15324;2367;1975;4479;1480;63;;;;;;;;;;;7;2555;3802;2070;1822;1;1
URGENCES2;2020;170000038;CENTRE HOSPITALIER JONZAC;170780050;GEN;168;168;1;IAO;11331;2537;1484;2243;1364;38;31;;;;;;223;48;27;;4;1460;1149;269;961;1;0
URGENCES2;2020;170000087;HOPITAL SAINT-LOUIS - LA ROCHELLE;170024194;GEN;777;1409;1;IAOMAO;46702;7700;11388;13922;4552;1811;1883;709;54;;;;116;8;7;;15;4308;3723;1087;2804;1;1
URGENCES2;2020;170000095;CENTRE HOSPITALIER ST-JEAN D'ANGELY;170780167;GEN;168;231;1;IAO;9207;1730;1075;1083;628;4;15;9;0;;;;513;125;23;;3;1098;1049;229;1013;1;1
URGENCES2;2020;170000103;CTRE HOSP. DE SAINTONGE - SAINTES;170780175;GEN;504;840;1;IAO;39811;4283;10000;9016;1907;1846;218;2;1;;;;255;54;31;;8;3116;3145;711;3396;1;1
URGENCES2;2020;170000152;CENTRE HOSPITALIER ROCHEFORT;170780225;GEN;406;1008;1;IAO;31222;4477;7071;8525;2712;1050;;;;;;;237;21;17;;9;3294;3550;853;2993;0;1
URGENCES2;2020;170022065;GCS URGENCES PAYS ROYANNAIS - ROYAN;170022057;GEN;336;672;1;IAO;17073;2793;1431;;;;;;;;;;4028;671;55;;;;0;0;0;1;0
URGENCES2;2020;170022818;GCS URGENCES PAYS ROYANNAIS -STGEORGES;170022057;GEN;84;98;1;IAO;5691;532;974;;;;;;;;;;349;100;14;;;;0;0;0;1;0
URGENCES2;2020;170022826;GCS URGENCES PAYS ROYANNAIS - PASTEUR;170022057;GEN;84;174;1;IAO;10147;782;1221;;;;;;;;;;1932;436;73;;0;;0;0;0;0;0
URGENCES2;2020;180000010;CH BOURGES - JACQUES COEUR;180000028;GEN;535;1106;1;IAOMAO;44378;9266;7722;11412;2573;1076;;;;;;;;;;;13;4758;5323;726;6108;1;1
URGENCES2;2020;180000200;CH DE VIERZON;180000051;GEN;312;354;1;IAO;18159;2413;3266;1792;;;;;;;;;228;;;;4;;2370;880;1636;0;1
URGENCES2;2020;180000283;CH SAINT AMAND-MONTROND;180000069;GEN;168;284;1;IAO;12176;2254;1833;1990;1101;4;6;6;0;;;;761;176;68;;5;1830;2050;777;1450;1;1
URGENCES2;2020;190000018;CENTRE HOSPITALIER DUBOIS BRIVE;190000042;GEN;288;742;1;IAO;34067;5623;5663;10529;3792;738;;;;;;;;;;;9;3290;2979;1044;2034;1;1
URGENCES2;2020;190000026;CENTRE HOSPITALIER COEUR DE CORREZE;190000059;GEN;203;516;1;IAO;17443;2850;2888;5361;1977;331;287;13;;;;;255;;;;6;2190;1589;342;1378;1;1
URGENCES2;2020;190000091;CENTRE HOSPITALIER D'USSEL;190000075;GEN;168;168;1;IAO;11208;1818;1701;2786;1115;46;8;5;;;;;;54;37;;1;366;450;198;255;0;0
URGENCES2;2020;210012670;HOPITAL PRIVE DIJON BOURGOGNE;210011367;GEN;252;578;1;IAO;27306;2641;5918;2280;538;465;;;;;;;830;317;9;;6;;6676;5508;1254;1;1
URGENCES2;2020;210987558;HOPITAL LE BOCAGE CHRU DIJON;210780581;GEN;574;1334;1;IAO;39454;6578;44;14846;4443;19;;;;;;;627;64;;;9;3285;4450;2440;2019;1;1
URGENCES2;2020;210987558;HOPITAL LE BOCAGE CHRU DIJON;210780581;PED;184;936;1;IAO;16162;;;;;;;;;;;;;;;2740;7;1826;2601;1880;748;;
URGENCES2;2020;210987657;HOSPICES CIVILS DE BEAUNE;210012175;GEN;211;756;1;IAO;19031;2842;3626;3829;1414;497;6;;;3;;;486;;;;6;2196;2841;1525;1374;0;1
URGENCES2;2020;210987665;CH HCO SITE DE CHATILLON SUR SEINE;210012142;GEN;336;420;1;IAO;10891;;;1313;;;3;;;;;;349;;;;3;1095;518;448;70;1;0
URGENCES2;2020;210987699;CENTRE HOSPITALIER ROBERT MORLEVAT;210780706;GEN;406;609;1;IAO;18910;2352;3897;3227;1014;195;270;22;20;;;;536;256;57;;6;2196;1656;808;885;1;1
URGENCES2;2020;220000012;CENTRE HOSPITALIER YVES LE FOLL;220000020;GEN;697;1323;1;IAO;60310;7486;15285;18347;4988;2676;0;0;0;0;0;0;21;2;8;;17;6222;4910;1864;3631;1;1
URGENCES2;2020;220000095;CTRE HOSPITALIER DINAN;220000046;GEN;406;568;1;IAO;25078;3814;5146;7186;2458;485;;;;;;;;;;;8;2928;4226;1648;3068;0;1
URGENCES2;2020;220000343;CENTRE HOSPITALIER GUINGAMP;220000079;GEN;399;525;1;IAOMAO;18777;3114;3690;4982;;;;;;;;;;;;;7;2555;1588;692;960;1;1
URGENCES2;2020;220000368;CENTRE HOSPITALIER LANNION;220000103;GEN;208;571;1;MAO;20140;3263;3306;5495;2029;362;;;;;;;155;31;11;;6;1854;1956;978;1009;1;1
URGENCES2;2020;220000541;CENTRE HOSPITALIER PAIMPOL;220000152;GEN;336;252;0;;12804;2209;2208;2866;1296;4;4;4;;;;;843;152;104;;4;1460;604;449;156;1;1
URGENCES2;2020;230000820;CENTRE HOSPITALIER GUERET;230780041;GEN;168;672;1;IAO;17742;3206;2446;6266;2042;367;9;5;;0;;;;;;;6;2196;2844;1475;1459;1;1
URGENCES2;2020;230004657;SITE CROIX BLANCHE;230780058;GEN;168;168;1;IAO;5680;1464;753;;;;;;;;;;;;;;2;732;604;166;476;1;0
URGENCES2;2020;240000190;POLYCLINIQUE FRANCHEVILLE;240000596;GEN;168;285;1;IAO;11456;1790;1296;2045;;;;;;;;;540;;;;4;1460;1902;1688;217;1;1
URGENCES2;2020;240000372;C.H DE BERGERAC;240000059;GEN;320;451;1;IAO;25783;3981;5573;6467;2370;595;;;;;;;521;76;38;;6;2196;3590;1741;2150;0;0
URGENCES2;2020;240000489;CENTRE HOSPITALIER DE PERIGUEUX;240000117;GEN;420;840;1;IAO;39960;5943;9026;10002;;1147;108;;;7;;;;;;;16;5856;5435;2165;3720;1;1
URGENCES2;2020;240000687;CENTRE HOSPITALIER SARLAT;240000448;GEN;168;420;0;;12570;2093;2270;2666;1156;41;157;45;6;0;0;0;531;118;75;;6;2196;1219;293;1078;;
URGENCES2;2020;250000700;CHI HC SITE RIVES DU DOUBS PONTARLIER;250000452;GEN;259;486;1;IAO;25884;2774;5449;6113;1517;884;79;5;;;;;;;;;6;2190;1795;614;1390;1;1
URGENCES2;2020;250006954;CHRU JEAN MINJOZ;250000015;GEN;1218;1983;1;IAO;59796;7648;1901;;;;;;;;;;;;;;3;;6134;3924;2567;1;1
URGENCES2;2020;250006954;CHRU JEAN MINJOZ;250000015;PED;192;536;1;IAO;14761;;;;;;;;;;;;;;;2943;4;1180;1009;363;727;;
URGENCES2;2020;260000013;CH DE VALENCE;260000021;GEN;668;1589;1;IAO;58902;;;15011;;;;;;;;;;;;;8;3060;3727;1377;2854;1;1
URGENCES2;2020;260000120;HOPITAUX DROME NORD - ROMANS-SUR-ISERE;260016910;GEN;308;756;1;IAO;27163;3841;5257;6267;2115;732;;;;;;;;;;;10;3650;1903;97;2570;1;1
URGENCES2;2020;260000138;CH PORTES PROVENCE MONTELIMAR;260000047;GEN;658;960;1;IAO;41690;4605;8978;6980;1982;1181;148;85;0;21;7;1;589;235;42;;13;4100;4890;1477;3923;0;1
URGENCES2;2020;260000146;CH DE CREST;260000054;GEN;168;174;0;;9315;906;1815;979;406;0;;;;;;;219;21;36;;2;730;420;132;310;0;0
URGENCES2;2020;260000203;HOPITAUX DROME NORD - SAINT-VALLIER;260016910;GEN;70;336;0;;5952;371;1312;321;130;13;;;;;;;;;;;;;;;;0;0
URGENCES2;2020;260000286;CH DE DIE;260000104;GEN;168;168;0;;5380;647;1205;940;329;11;30;30;;;;;187;;;;2;730;631;328;380;1;1
URGENCES2;2020;270000326;HOPITAL PRIVE PASTEUR EVREUX;270000680;GEN;168;424;1;IAO;20634;1262;2882;;;;;;;;;;;;;;4;1460;2;1;1;1;1
URGENCES2;2020;270000359;CH EVREUX CH EURE-SEINE;270023724;GEN;777;588;1;IAO;50282;3856;16905;8961;2112;1373;0;0;0;;;;;;;;9;3622;2435;941;2026;1;0
URGENCES2;2020;270000367;CH GISORS;270000086;GEN;168;168;1;IAO;14816;2028;3634;;;;;;;;;;;;;;2;730;848;117;864;1;1
URGENCES2;2020;270000391;CH LOUVIERS CHI ELBEUF;760024042;GEN;168;308;1;IAO;12616;614;2998;359;203;1;2;1;0;0;0;0;91;13;7;;1;365;118;110;10;1;1
URGENCES2;2020;270000425;CH PONT-AUDEMER;270000102;GEN;168;168;1;;14878;;;;;;;;;;;;;;;;4;;1615;940;721;0;0
URGENCES2;2020;270000441;CH VERNEUIL-SUR-AVRE;270000110;GEN;168;168;0;;12205;1336;2524;662;;;52;;;17;;;254;;;;4;1464;752;106;756;0;0
URGENCES2;2020;270000458;CH VERNON CH EURE-SEINE;270023724;GEN;238;420;1;IAO;20968;2158;2667;3242;951;49;4;3;0;;;;;;;;4;1392;1208;494;824;1;1
URGENCES2;2020;280000084;CH DREUX;280000183;GEN;770;1144;1;IAO;51713;4466;14945;8601;2547;953;189;8;;;;;;;;;11;4026;2588;543;2329;0;0
URGENCES2;2020;280000662;CH CHATEAUDUN;280500075;GEN;296;464;1;IAO;13614;;;3867;;;;;;;;;;;;;4;1460;2274;945;1475;;
URGENCES2;2020;280502998;CH NOGENT LE ROTROU - NOUVEL HÔPITAL;280000589;GEN;168;168;1;IAO;13574;2303;2197;2729;1205;34;;;;;;;;;;;3;1095;1334;675;697;0;0
